id,long,lat,banco,red,ubicacion,localidad,terminales,no_vidente,dolares,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
11233,-58.48076446,-34.61229555,BANCO DE LA NACION ARGENTINA,LINK,Av. Nazca 1914,CABA,3,FALSE,FALSE,Av. Nazca,1914,,Villa Santa Rita,Comuna 11,1416,C1416ASV
11234,-58.48303354,-34.60942348,CABAL COOP. LTDA.,LINK,Av. Nazca 2208,CABA,3,FALSE,FALSE,Av. Nazca,2208,,Villa Santa Rita,Comuna 11,1416,C1416ASY
11515,-58.47108516,-34.62748695,CABAL COOP. LTDA.,LINK,Av. Nazca 392/396,CABA,2,FALSE,FALSE,Av. Nazca,392,,Flores,Comuna 7,1406,C1406AJP
11086,-58.36877279,-34.61963127,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Paseo Colon 1033,CABA,1,FALSE,FALSE,Av. Paseo Colon,1033,,San Telmo,Comuna 1,1063,C1063ACK
11392,-58.36958976,-34.61039605,BANCO DE LA NACION ARGENTINA,LINK,Av. Paseo Colon 239,CABA,1,FALSE,FALSE,Av. Paseo Colon,239,,Monserrat,Comuna 1,1063,C1063ACC
11391,-58.36958176,-34.61059406,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Paseo Colon 255, entre Moreno y Adolfo Alsina",CABA,1,FALSE,FALSE,Av. Paseo Colon,255,,Monserrat,Comuna 1,1063,C1063ACC
11380,-58.36945079,-34.61514716,BANCO DE LA NACION ARGENTINA,LINK,Av. Paseo Colon 635,CABA,1,FALSE,FALSE,Av. Paseo Colon,635,,Monserrat,Comuna 1,1063,C1063ACG
11084,-58.36847278,-34.61911926,BANCO DE LA NACION ARGENTINA,LINK,Av. Paseo Colon 982,CABA,2,FALSE,FALSE,Av. Paseo Colon,982,,San Telmo,Comuna 1,1063,C1063ACW
11672,-58.43306742,-34.60711967,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Patricias Argentinas 750,CABA,1,FALSE,FALSE,Av. Patricias Argentinas,750,,,,,
11671,-58.43239352,-34.62559009,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Pedro Goyena 369,CABA,1,FALSE,FALSE,Av. Pedro Goyena,369,,Caballito,Comuna 6,1424,C1424BSD
